사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2023112500100483,2023년 11월 25일 18시,토요일,경기도 수원시 권선구 탑동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,여,52세,경상,승용,남,48세,상해없음
2023112500100552,2023년 11월 25일 20시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대사람 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,승용,여,57세,상해없음,보행자,남,58세,경상
2023112500100555,2023년 11월 25일 20시,토요일,경기도 수원시 팔달구 교동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,자전거,남,70세,경상
2023112500100577,2023년 11월 25일 21시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,기타불명,승용,남,40세,경상
2023112500100612,2023년 11월 25일 23시,토요일,경기도 수원시 팔달구 매산로1가,중상사고,0,1,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,21세,상해없음,이륜,남,43세,경상
2023112600100002,2023년 11월 26일 00시,일요일,경기도 수원시 팔달구 인계동,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,23세,상해없음,보행자,여,23세,중상
2023112600100132,2023년 11월 26일 12시,일요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,여,60세,경상
2023112600100156,2023년 11월 26일 13시,일요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,45세,상해없음,이륜,남,39세,경상
2023112600100291,2023년 11월 26일 18시,일요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,50세,상해없음,이륜,남,28세,경상
2023112600100320,2023년 11월 26일 19시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,2,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,승용,여,38세,경상
2023112600100349,2023년 11월 26일 20시,일요일,경기도 수원시 장안구 정자동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,승합,남,53세,상해없음
2023112600100392,2023년 11월 26일 23시,일요일,경기도 수원시 권선구 구운동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,이륜,남,17세,중상
2023112700100029,2023년 11월 27일 04시,월요일,경기도 수원시 영통구 매탄동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,45세,상해없음,보행자,여,65세,중상
2023112700100039,2023년 11월 27일 05시,월요일,경기도 수원시 장안구 이목동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,젖음/습기,비,교차로 - 교차로부근,승용,남,43세,상해없음,보행자,남,43세,중상
2023112700100041,2023년 11월 27일 05시,월요일,경기도 수원시 장안구 송죽동,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,젖음/습기,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,남,34세,부상신고
2023112700100053,2023년 11월 27일 06시,월요일,경기도 수원시 권선구 구운동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승합,남,62세,기타불명,승용,남,44세,경상
2023112700100219,2023년 11월 27일 11시,월요일,경기도 수원시 권선구 평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,화물,남,57세,상해없음
2023112700100249,2023년 11월 27일 12시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,승용,남,66세,상해없음,승용,여,27세,경상
2023112700100283,2023년 11월 27일 13시,월요일,경기도 수원시 권선구 호매실동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 터널,승용,남,29세,상해없음,승용,남,51세,경상
2023112700100419,2023년 11월 27일 17시,월요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,63세,상해없음,승용,남,27세,경상
2023112700100484,2023년 11월 27일 18시,월요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로횡단보도내,자전거,남,77세,상해없음,승용,여,35세,경상
2023112700100555,2023년 11월 27일 19시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,43세,상해없음,보행자,남,24세,경상
2023112700100608,2023년 11월 27일 21시,월요일,경기도 수원시 팔달구 매산로3가,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,이륜,남,34세,중상
2023112800100036,2023년 11월 28일 06시,화요일,경기도 수원시 장안구 이목동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51세,경상,승용,남,46세,경상
2023112800100063,2023년 11월 28일 07시,화요일,경기도 수원시 권선구 구운동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,흐림,단일로 - 기타,승용,여,38세,상해없음,승용,여,67세,경상
2023112800100223,2023년 11월 28일 12시,화요일,경기도 수원시 장안구 천천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,51세,상해없음,승용,여,40세,경상
2023112800100284,2023년 11월 28일 14시,화요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승용,남,28세,경상
2023112800100286,2023년 11월 28일 14시,화요일,경기도 수원시 권선구 구운동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,승용,남,66세,경상
2023112800100447,2023년 11월 28일 18시,화요일,경기도 수원시 장안구 율전동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,이륜,남,44세,중상
2023112800100503,2023년 11월 28일 19시,화요일,경기도 수원시 권선구 호매실동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,기타,흐림,단일로 - 기타,승용,남,48세,상해없음,원동기,남,26세,경상
2023112800100598,2023년 11월 28일 23시,화요일,경기도 수원시 팔달구 구천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승합,남,48세,경상
2023112900100008,2023년 11월 29일 01시,수요일,경기도 수원시 권선구 세류동,사망사고,1,0,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,35세,사망,승용,남,50세,상해없음
2023112900100017,2023년 11월 29일 04시,수요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,화물,남,62세,경상
2023112900100034,2023년 11월 29일 06시,수요일,경기도 수원시 권선구 호매실동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,승용,남,41세,경상
2023112900100079,2023년 11월 29일 08시,수요일,경기도 수원시 권선구 장지동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,36세,상해없음,승용,남,65세,경상
2023112900100113,2023년 11월 29일 09시,수요일,경기도 수원시 장안구 연무동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,여,63세,중상
2023112900100116,2023년 11월 29일 09시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,여,66세,중상
2023112900100146,2023년 11월 29일 10시,수요일,경기도 수원시 팔달구 영동,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,27세,부상신고,승용,여,52세,경상
2023112900100202,2023년 11월 29일 12시,수요일,경기도 수원시 권선구 세류동,부상신고사고,0,0,0,2,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,승용,여,77세,부상신고
2023112900100291,2023년 11월 29일 15시,수요일,경기도 수원시 권선구 호매실동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,63세,상해없음,승용,남,42세,경상
2023112900100345,2023년 11월 29일 17시,수요일,경기도 수원시 장안구 연무동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음,보행자,남,36세,경상
2023112900100346,2023년 11월 29일 17시,수요일,경기도 수원시 장안구 조원동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,43세,상해없음,보행자,남,53세,부상신고
2023112900100401,2023년 11월 29일 18시,수요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,기타,기타,단일로 - 터널,승합,남,45세,상해없음,승용,여,46세,경상
2023112900100413,2023년 11월 29일 18시,수요일,경기도 수원시 권선구 탑동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,52세,상해없음,보행자,남,68세,중상
2023112900100466,2023년 11월 29일 19시,수요일,경기도 수원시 장안구 조원동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,26세,상해없음,이륜,남,44세,경상
2023112900100473,2023년 11월 29일 19시,수요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,42세,상해없음,승용,남,39세,경상
2023112900100474,2023년 11월 29일 19시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,72세,경상
2023112900100478,2023년 11월 29일 19시,수요일,경기도 수원시 팔달구 매산로3가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,37세,상해없음,승합,남,59세,상해없음
2023112900100479,2023년 11월 29일 19시,수요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,41세,상해없음,원동기,남,29세,경상
2023112900100553,2023년 11월 29일 22시,수요일,경기도 수원시 권선구 권선동,중상사고,0,1,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,63세,상해없음,승용,여,26세,경상
2023113000100013,2023년 11월 30일 01시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,44세,상해없음,승용,남,39세,상해없음
2023113000100089,2023년 11월 30일 08시,목요일,경기도 수원시 권선구 탑동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,32세,상해없음,보행자,남,12세,부상신고
2023113000100090,2023년 11월 30일 08시,목요일,경기도 수원시 권선구 호매실동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,26세,상해없음,승용,여,40세,경상
2023113000100168,2023년 11월 30일 10시,목요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,24세,상해없음,승용,여,48세,경상
2023113000100253,2023년 11월 30일 13시,목요일,경기도 수원시 팔달구 우만동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,이륜,남,26세,중상
2023113000100285,2023년 11월 30일 14시,목요일,경기도 수원시 장안구 연무동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,52세,상해없음,보행자,남,53세,경상
2023113000100337,2023년 11월 30일 15시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,여,41세,상해없음
2023113000100370,2023년 11월 30일 16시,목요일,경기도 수원시 팔달구 인계동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,45세,상해없음,승용,남,47세,경상
